"code","country","siteid","site_name","compiler","species","common_name","years_monitored","latitude","longitude","nesting_status"
"US","United States (contiguous)","US108","Cape Island","WIDECAST","Caretta caretta","Loggerhead Sea Turtle",2013,33.061705,-79.338336,"QUANTIFIED"
"US","United States (contiguous)","US77","Cape/Lighthouse Islands",NA,"Caretta caretta","Loggerhead Sea Turtle",1997,33.0379,-79.3479,"QUANTIFIED"
"US","United States (contiguous)","US76","Cape Romain",NA,"Caretta caretta","Loggerhead Sea Turtle",2009,33.0112,-79.3623,"UNQUANTIFIED"
"US","United States (contiguous)","US109","Capers Island","WIDECAST","Caretta caretta","Loggerhead Sea Turtle",2013,32.864957,-79.674851,"QUANTIFIED"
"US","United States (contiguous)","US78","Caswell Island",NA,"Caretta caretta","Loggerhead Sea Turtle",2009,33.8953,-78.0513,"UNQUANTIFIED"
"US","United States (contiguous)","US110","Cedar Island","WIDECAST","Caretta caretta","Loggerhead Sea Turtle",2013,33.123809,-79.246477,"QUANTIFIED"
"US","United States (contiguous)","US05","Charlotte",NA,"Caretta caretta","Loggerhead Sea Turtle",2014,26.8662905398,-82.3188483067,"QUANTIFIED"
"US","United States (contiguous)","US05","Charlotte",NA,"Chelonia mydas","Green Sea Turtle",2014,26.8662905398,-82.3188483067,"QUANTIFIED"
"US","United States (contiguous)","US05","Charlotte",NA,"Dermochelys coriacea","Leatherback Sea Turtle",2014,26.8662905398,-82.3188483067,"NO-NESTING"
"US","United States (contiguous)","US05","Charlotte",NA,"Eretmochelys imbricata","Hawksbill Sea Turtle",2014,26.8662905398,-82.3188483067,"NO-NESTING"
"US","United States (contiguous)","US05","Charlotte",NA,"Lepidochelys kempii","Kemp's Ridley",2014,26.8662905398,-82.3188483067,"NO-NESTING"
"US","United States (contiguous)","US111","Coffin Point","WIDECAST","Caretta caretta","Loggerhead Sea Turtle",2013,32.428592,-80.469,"QUANTIFIED"
